index,value,kor,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
int,int,string,string,string,string,string,string,string,string,string
0,0,없음,doesn't exist,存在しない,不存在,不存在,не существует,n'existe pas,no existe,không tồn tại
1,1,공격력 <color=red>{0}%</color> 증가,Attack Power <color=red>{0}%</color> Increase,攻撃力 <color=red>{0}%</color>増加,攻击力提升 <color=red>{0}%</color>,攻擊力提升 <color=red>{0}%</color>,Увеличение силы атаки <color=red>{0}%</color>,Augmentation de la puissance d'attaque <color=red>{0}%</color>,Poder de ataque <color=red>{0}%</color> Aumentar,Tăng sức tấn công <color=red>{0}%</color>
2,1,체력 <color=red>{0}%</color> 증가,Increase HP <color=red>{0}%</color>,HPを増加させる <color=red>{0}%</color>,提升生命值 <color=red>{0}%</color>,提升生命值 <color=red>{0}%</color>,Увеличить HP <color=red>{0}%</color>,Augmenter les PV <color=red>{0}%</color>,Aumentar HP <color=red>{0}%</color>,Tăng HP <color=red>{0}%</color>
3,1,치명타 피해 <color=red>{0}%</color> 증가,Critical hit damage <color=red>{0}%</color> increase,クリティカルヒットダメージ <color=red>{0}%</color>増加,暴击伤害提升 <color=red>{0}%</color>,爆擊傷害提升 <color=red>{0}%</color>,Увеличение урона от критического удара на <color=red>{0}%</color>,Augmentation des dégâts critiques de <color=red>{0}%</color>,Incremento del daño por golpe crítico <color=red>{0}%</color>,Sát thương chí mạng tăng <color=red>{0}%</color>
4,1,보스 피해 <color=red>{0}%</color> 증가,Boss damage <color=red>{0}%</color> increase,ボスダメージ <color=red>{0}%</color>増加,Boss伤害提升0%。,Boss傷害提升0%。,Увеличение урона босса на <color=red>{0}%</color>,Augmentation des dégâts des boss de <color=red>{0}%</color>,Incremento del daño del jefe <color=red>{0}%</color>,Sát thương của Boss tăng <color=red>{0}%</color>
5,1,스킬 피해 <color=red>{0}%</color> 증가,Skill damage <color=red>{0}%</color> increase,スキルダメージ <color=red>{0}%</color>増加,技能伤害提升 <color=red>{0}%</color>,技能傷害提升 <color=red>{0}%</color>,Увеличение урона от навыков на <color=red>{0}%</color>,Augmentation des dégâts de compétence <color=red>{0}%</color>,Incremento del daño de habilidad <color=red>{0}%</color>,Sát thương kỹ năng tăng <color=red>{0}%</color>
6,1, 웨이브마다 <color=red>{0}거리</color> 만큼 <color=red>대쉬</color>\n<color=yellow>[이동속도 비례 속도 증가]</color>,Dash by <color=red>{0} distance every wave</color>\n<color=yellow>[Speed ​​increases proportionally to movement speed]</color>,各ウェーブごとに<color=red>{0}距離だけダッシュします</color>\n<color=yellow>[速度は移動速度に比例して増加します]</color>,每波冲刺 <color=red>{0} 距离</color>\n<color=yellow>[速度与移动速度成正比增加]</color>,每波衝刺 <color=red>{0} 距離</color>\n<color=yellow>[速度與移動速度成正比增加]</color>,Рывок на расстояние <color=red>{0} за каждую волну</color>\n<color=yellow>[Скорость увеличивается пропорционально скорости движения]</color>,Avance de <color=red>{0} distance à chaque vague</color>\n<color=yellow>[La vitesse augmente proportionnellement à la vitesse de déplacement]</color>,Recorre <color=red>{0} distancia en cada ola</color>\n<color=yellow>[La velocidad aumenta proporcionalmente a la velocidad de movimiento]</color>,Lướt đi một khoảng cách <color=red>{0} mỗi đợt</color>\n<color=yellow>[Tốc độ tăng tỷ lệ thuận với tốc độ di chuyển]</color>
7,1, <color=red>{0}%</color> 확률로 기절,<color=red>{0}%</color> chance of fainting,<color=red>{0}%</color>失神する可能性,晕厥的概率为 0%,暈厥的機率為 0%,<color=red>{0}%</color> вероятность обморока,<color=red>{0}%</color> chances de s'évanouir,<color=red>{0}%</color> probabilidad de desmayarse,<color=red>{0}%</color> khả năng ngất xỉu
8,2, <color=red>5초</color>마다 보호막 획득<color=red>(최대체력 {0}%)</color>,<color=red>Gain shield every 5 seconds<color=red>(Max HP {0}%)</color>,<color=red>5秒ごとにシールドを獲得<color=red>(最大HP {0}%)</color>,每 5 秒获得护盾（最大生命值 {0}%）,每 5 秒獲得護盾（最大生命值 {0}%）,<color=red>Восстанавливайте щит каждые 5 секунд<color=red>(Максимальное количество HP {0}%)</color>,<color=red>Gagnez du bouclier toutes les 5 secondes<color=red>(PV max {0}%)</color>,<color=red>Obtén un escudo cada 5 segundos<color=red>(PV máximo {0}%)</color>,<color=red>Nhận khiên mỗi 5 giây<color=red>(Máu tối đa {0}%)</color>
9,1, <color=red>{0}초</color>마다 체력 회복,Recover health every {0} seconds,{0}秒ごとに体力を回復する,每隔 {0} 秒恢复一次生命值,每隔 {0} 秒恢復一次生命值,Восстанавливайте здоровье каждые {0} секунд,Récupérez de la santé toutes les {0} secondes,Recuperar salud cada {0} segundos,Hồi phục sức khỏe sau mỗi {0} giây
10,1,적을 죽일때마다  <color=red>{0}%</color> 공격력 증가(최대 100회),Increase Attack Power by <color=red>{0}%</color> every time you kill an enemy (maximum 100 times),敵を倒すたびに攻撃力が<color=red>{0}%</color>増加する（最大100回）,每次击杀敌人，攻击力提升<color=red>{0}%</color>（最多100次）,每次擊殺敵人，攻擊力提升<color=red>{0}%</color>（最多100次）,"Увеличивайте силу атаки на <color=red>{0}%</color> каждый раз, когда убиваете врага (максимум 100 раз).",Augmente la puissance d'attaque de <color=red>{0}%</color> à chaque fois que vous tuez un ennemi (maximum 100 fois),Aumenta el poder de ataque en un <color=red>{0}%</color> cada vez que mates a un enemigo (máximo 100 veces).,Tăng sức tấn công lên <color=red>{0}%</color> mỗi khi bạn tiêu diệt một kẻ địch (tối đa 100 lần)
11,2, <color=red>5%</color>확률로 <color=red>{1}배</color> 데미지,<color=red>5%</color> chance to <color=red>{1}x</color> damage,<color=red>5%</color>の確率で<color=red>{1}倍のダメージ</color>,5% 的几率造成 1 倍伤害,5% 的幾率造成 1 倍傷害,<color=red>5%</color> шанс нанести <color=red>{1}x</color> урон,5 % de chances de subir des dégâts de <color=red>{1}x</color>,<color=red>5%</color> de probabilidad de <color=red>{1}x</color> daño,<color=red>5%</color> cơ hội gây sát thương <color=red>{1}x</color>
12,1, <color=red>{0}%</color> 확률로 임의스킬 <color=yellow>10%</color> 쿨타임 감소,Reduce random skill cooldown by 10% with a 0% chance.,ランダムスキルのクールダウンを10%短縮する（確率0%）。,有 0% 的几率使随机技能冷却时间减少 10%。,有 0% 的幾率使隨機技能冷卻時間減少 10%。,Снижает время восстановления случайного умения на 10% с вероятностью 0%.,Réduit le temps de recharge aléatoire des compétences de 10 % avec 0 % de chances.,Reduce el tiempo de reutilización de habilidades aleatorias en un 10% con un 0% de probabilidad.,Giảm thời gian hồi chiêu kỹ năng ngẫu nhiên đi 10% với xác suất 0%.
13,1, <color=red>{0}%</color> 확률로 즉사(보스제외),Instant death with a probability of 0% (excluding bosses),ボスを除く、即死確率0%,立即死亡的概率为 0%（不包括 Boss）。,立即死亡的機率為 0%（不包括 Boss）。,Мгновенная смерть с вероятностью 0% (за исключением боссов),Mort instantanée avec une probabilité de 0% (boss exclus),Muerte instantánea con una probabilidad del 0% (excluyendo a los jefes).,Chết ngay lập tức với xác suất 0% (ngoại trừ trùm)
14,0,감전 - 체인라이트닝,Electric Shock - Chain Lightning,感電 - 連鎖雷,电击 - 连锁闪电,電擊 - 連鎖閃電,Электрический шок - Цепная молния,Choc électrique - Foudre en chaîne,Descarga eléctrica - Rayo en cadena,Điện giật - Sét dây chuyền
15,0,빙결 - 빙결,Freeze - Freeze,フリーズ - フリーズ,冻结 - 冻结,凍結 - 凍結,Заморозить - Заморозить,Geler - Geler,Congelar - Congelar,Đóng băng - Đóng băng
16,0,점화 - 화염데미지,Ignition - Flame Damage,点火 - 炎による損傷,点火 - 火焰损伤,點火 - 火焰損傷,Воспламенение - Огненный урон,Allumage - Dommages causés par les flammes,Ignición - Daños por llama,Bắt lửa - Thiệt hại do ngọn lửa
17,1, <color=red>{0}%</color> 확률로 다중 공격,Multi-attack with a probability of {0}%,確率{0}%で複数回攻撃,多重攻击概率为{0}%,多重攻擊機率為{0}%,Многократная атака с вероятностью {0}%,Attaque multiple avec une probabilité de {0}%,Ataque múltiple con una probabilidad del {0}%,Tấn công đa mục tiêu với xác suất {0}%
18,1,동료 공격력  <color=red>{0}%</color> 증가,Ally Attack Power <color=red>{0}%</color> Increase,味方の攻撃力 <color=red>{0}%</color> 増加,友军攻击力提升 <color=red>{0}%</color>,友軍攻擊力提升 <color=red>{0}%</color>,Увеличение силы атаки союзников <color=red>{0}%</color>,Augmentation de la puissance d'attaque des alliés <color=red>{0}%</color>,Poder de ataque aliado <color=red>{0}%</color> Aumentar,Tăng sức tấn công của đồng minh <color=red>{0}%</color>
19,1,동료 치명타 확률 <color=red>{0}%</color> 증가,Increase Ally Critical Hit Chance by <color=red>{0}%</color>,味方のクリティカルヒット率を<color=red>{0}%</color>増加します,提高友军暴击几率 <color=red>{0}%</color>,提高友軍爆擊幾率 <color=red>{0}%</color>,Увеличьте шанс критического удара союзника на <color=red>{0}%</color>,Augmente les chances de coup critique des alliés de <color=red>{0}%</color>,Aumenta la probabilidad de golpe crítico del aliado en <color=red>{0}%</color>,Tăng tỷ lệ chí mạng của đồng minh lên <color=red>{0}%</color>
20,1,동료 치명타 피해 <color=red>{0}%</color> 증가,Ally Critical Damage <color=red>{0}%</color> Increase,味方のクリティカルダメージ <color=red>{0}%</color> 増加,友军暴击伤害提升 <color=red>{0}%</color>,友軍暴擊傷害提升 <color=red>{0}%</color>,Увеличение критического урона союзников <color=red>{0}%</color>,Augmentation des dégâts critiques des alliés <color=red>{0}%</color>,Incremento del daño crítico de los aliados <color=red>{0}%</color>,Tăng sát thương chí mạng cho đồng minh <color=red>{0}%</color>
21,1,재료 드랍률 <color=red>{0}%</color> 증가,Increase material drop rate by <color=red>{0}%</color>,素材のドロップ率を<color=red>{0}%</color>増加します。,将物料掉落率提高<color=red>{0}%</color>,將物料掉落率提高<color=red>{0}%</color>,Увеличьте скорость выпадения материалов на <color=red>{0}%</color>,Augmenter le taux d'obtention de matériaux de <color=red>{0}%</color>,Aumentar la tasa de caída de material en <color=red>{0}%</color>,Tăng tỷ lệ rơi vật liệu lên <color=red>{0}%</color>
22,1,아이템 드랍확률 <color=red>{0}%</color> 증가,Increase item drop probability by <color=red>{0}%</color>,アイテムのドロップ確率を<color=red>{0}%</color>増加します。,物品掉落概率提高 <color=red>{0}%</color>,物品掉落機率提高 <color=red>{0}%</color>,Увеличьте вероятность выпадения предмета на <color=red>{0}%</color>,Augmenter la probabilité d'obtention d'objets de <color=red>{0}%</color>,Aumentar la probabilidad de obtención de objetos en <color=red>{0}%</color>,Tăng xác suất rơi vật phẩm lên <color=red>{0}%</color>
23,1,경험치 획득량 <color=red>{0}%</color> 증가,Experience gain <color=red>{0}%</color> increase,経験値獲得 <color=red>{0}%</color>増加,经验值增长 <color=red>{0}%</color>,經驗值成長 <color=red>{0}%</color>,Увеличение опыта <color=red>{0}%</color>,Gain d'expérience <color=red>{0}%</color> augmentation,Aumento de la ganancia de experiencia <color=red>{0}%</color>,Tăng kinh nghiệm <color=red>{0}%</color>
24,1,골득 획득량 <color=red>{0}%</color> 증가,Increase goal gains by <color=red>{0}%</color>,ゴール獲得数を<color=red>{0}%</color>増加,目标收益提高 <color=red>{0}%</color>,目標收益提高 <color=red>{0}%</color>,Увеличьте прирост забитых голов на <color=red>{0}%</color>,Augmenter les gains d'objectifs de <color=red>{0}%</color>,Aumentar las ganancias de objetivos en un <color=red>{0}%</color>,Tăng tỷ lệ đạt mục tiêu lên <color=red>{0}%</color>
25,1,동료 공격속도 <color=red>{0}%</color> 증가,Ally Attack Speed ​​<color=red>{0}%</color> Increase,味方の攻撃速度 <color=red>{0}%</color>増加,友军攻击速度提升 <color=red>{0}%</color>,友軍攻擊速度提升 <color=red>{0}%</color>,Увеличение скорости атаки союзников <color=red>{0}%</color>,Augmentation de la vitesse d'attaque des alliés : <color=red>{0}%</color>,Velocidad de ataque de los aliados ​​<color=red>{0}%</color> Aumentar,Tăng tốc độ tấn công của đồng minh <color=red>{0}%</color>
26,1,동료 스킬 피해량 <color=red>{0}%</color> 증가,Ally skill damage <color=red>{0}%</color> increase,味方のスキルダメージ <color=red>{0}%</color>増加,友军技能伤害提升 <color=red>{0}%</color>,友軍技能傷害提升 <color=red>{0}%</color>,Увеличение урона от навыков союзников <color=red>{0}%</color>,Augmentation des dégâts des compétences alliées de <color=red>{0}%</color>,Incremento del daño de habilidad de aliado <color=red>{0}%</color>,Sát thương kỹ năng đồng minh tăng <color=red>{0}%</color>
27,1,공격시 확률로 동료스킬 쿨타임 <color=red>{0}%</color> 감소,Chance to reduce companion skill cooldown by <color=red>{0}%</color> on attack,攻撃時に仲間のスキルのクールダウンを<color=red>{0}%</color>短縮するチャンス,攻击时有几率减少同伴技能冷却时间<color=red>{0}%</color>,攻擊時有幾率減少同儕技能冷卻時間<color=red>{0}%</color>,Шанс уменьшить время восстановления навыков компаньона на <color=red>{0}%</color> при атаке,Chance de réduire le temps de recharge des compétences de compagnon de <color=red>{0}%</color> lors d'une attaque,Probabilidad de reducir el tiempo de reutilización de la habilidad del compañero en un <color=red>{0}%</color> al atacar,Có cơ hội giảm thời gian hồi chiêu kỹ năng đồng hành đi <color=red>{0}%</color> khi tấn công
28,1,명중 <color=red>{0}</color> 증가,Increase Hit <color=red>{0}</color>,ヒット数を増やす <color=red>{0}</color>,增加命中数 <color=red>{0}</color>,增加命中數 <color=red>{0}</color>,Увеличить удар <color=red>{0}</color>,Augmenter les chances de toucher <color=red>{0}</color>,Aumento de impacto <color=red>{0}</color>,Tăng số lần tấn công <color=red>{0}</color>
29,1,장비 강화 확률 <color=red>{0}%</color> 증가,Equipment Enhancement Probability <color=red>{0}%</color> Increase,装備強化確率 <color=red>{0}%</color> 増加,装备强化概率 <color=red>{0}%</color> 提升,裝備強化機率 <color=red>{0}%</color> 提升,Вероятность улучшения оборудования <color=red>{0}%</color> Увеличение,Probabilité d'amélioration de l'équipement : <color=red>{0}%</color>,Aumento de la probabilidad de mejora del equipo <color=red>{0}%</color>,Xác suất nâng cấp trang bị <color=red>{0}%</color> Tăng
30,0,함정 - 적 사망시 주변적에게 피해,Trap - Deals damage to nearby enemies upon enemy death,トラップ - 敵が死亡すると、近くの敵にダメージを与える,陷阱 - 敌人死亡时对附近敌人造成伤害,陷阱 - 敵人死亡時對附近敵人造成傷害,Ловушка — наносит урон ближайшим врагам после их смерти.,Piège - Inflige des dégâts aux ennemis proches à la mort d'un ennemi,Trampa: inflige daño a los enemigos cercanos al morir el enemigo.,Bẫy - Gây sát thương cho kẻ địch gần đó khi kẻ địch chết.
31,1,회피 <color=red>{0}</color> 증가,Increase evasion <color=red>{0}</color>,回避率を上げる <color=red>{0}</color>,增加闪避 <color=red>{0}</color>,增加閃避 <color=red>{0}</color>,Увеличьте уклонение <color=red>{0}</color>,Augmenter l'esquive <color=red>{0}</color>,Aumentar la evasión <color=red>{0}</color>,Tăng khả năng né tránh <color=red>{0}</color>
32,1,공격력 <color=red>+{0}</color>,Attack Power <color=red>+{0}</color>,攻撃力 <color=red>+{0}</color>,攻击力 +0,攻擊力 +0,Сила атаки <color=red>+{0}</color>,Puissance d'attaque <color=red>+{0}</color>,Poder de ataque <color=red>+{0}</color>,Sức tấn công <color=red>+{0}</color>
33,1,체력 <color=red>+{0}</color>,Stamina <color=red>+{0}</color>,スタミナ <color=red>+{0}</color>,耐力<color=red>+{0}</color>,耐力<color=red>+{0}</color>,Выносливость <color=red>+{0}</color>,Endurance <color=red>+{0}</color>,Resistencia <color=red>+{0}</color>,Sức bền <color=red>+{0}</color>
34,1,동료 보스 피해량 <color=red>{0}%</color> 증가,Ally Boss Damage <color=red>{0}%</color> Increase,味方ボスダメージ <color=red>{0}%</color>増加,友军首领伤害提升 <color=red>{0}%</color>,友軍首領傷害提升 <color=red>{0}%</color>,Увеличение урона по боссам союзников <color=red>{0}%</color>,Augmentation des dégâts du boss allié <color=red>{0}%</color>,Incremento del daño al jefe aliado <color=red>{0}%</color>,Sát thương Boss Đồng minh <color=red>{0}%</color> Tăng
35,1,이동속도 <color=red>{0}</color> 증가,Increase movement speed <color=red>{0}</color>,移動速度を上げる <color=red>{0}</color>,提升移动速度 <color=red>{0}</color>,提升移動速度 <color=red>{0}</color>,Увеличьте скорость передвижения <color=red>{0}</color>,Augmenter la vitesse de déplacement <color=red>{0}</color>,Aumentar la velocidad de movimiento <color=red>{0}</color>,Tăng tốc độ di chuyển <color=red>{0}</color>
36,1,공격속도 <color=red>{0}%</color> 증가,Attack speed <color=red>{0}%</color> increase,攻撃速度 <color=red>{0}%</color>増加,攻击速度提升 0%,攻擊速度提升 0%,Увеличение скорости атаки на <color=red>{0}%</color>,Augmentation de la vitesse d'attaque <color=red>{0}%</color>,Aumento de la velocidad de ataque <color=red>{0}%</color>,Tăng tốc độ tấn công <color=red>{0}%</color>
37,1,받는피해 <color=red>{0}%</color> 감소,Reduce damage taken by <color=red>{0}%</color>,受けるダメージを<color=red>{0}%</color>軽減します。,减少受到的伤害 <color=red>{0}%</color>,減少受到的傷害 <color=red>{0}%</color>,Снизьте получаемый урон на <color=red>{0}%</color>,Réduisez les dégâts subis de <color=red>{0}%</color>,Reduzca el daño recibido en un <color=red>{0}%</color>,Giảm sát thương nhận vào đi <color=red>{0}%</color>
38,1,상위 아이템 확률 <color=red>{0}%</color> 증가,Increase the probability of higher-tier items by <color=red>{0}%</color>,上位アイテムの出現確率を<color=red>{0}%</color>増加します,提高获得高级物品的概率 <color=red>{0}%</color>,提高獲得高級物品的機率 <color=red>{0}%</color>,Увеличьте вероятность получения предметов более высокого уровня на <color=red>{0}%</color>,Augmentez la probabilité d'obtenir des objets de niveau supérieur de <color=red>{0}%</color>,Aumenta la probabilidad de obtener artículos de nivel superior en un <color=red>{0}%</color>,Tăng xác suất xuất hiện các vật phẩm cấp cao hơn lên <color=red>{0}%</color>
39,1,치명타 확률 <color=red>{0}%</color> 증가,Critical Hit Chance <color=red>{0}%</color> Increase,クリティカルヒット率 <color=red>{0}%</color> 増加,暴击几率提升 <color=red>{0}%</color>,爆擊幾率提升 <color=red>{0}%</color>,Шанс критического удара <color=red>{0}%</color> Увеличение,Augmentation des chances de coup critique <color=red>{0}%</color>,Aumento de probabilidad de golpe crítico <color=red>{0}%</color>,Tăng Tỷ Lệ Chí Mạng <color=red>{0}%</color>
40,2,{1}초마다 <color=red>{0}%</color>회복,Recover <color=red>{0}%</color> every {1} seconds,{1}秒ごとに<color=red>{0}%</color>を回復します。,每 {1} 秒恢复 <color=red>{0}%</color>,每 {1} 秒恢復 <color=red>{0}%</color>,Восстанавливайте <color=red>{0}%</color> каждые {1} секунды,Récupérez <color=red>{0}%</color> toutes les {1} secondes,Recuperar <color=red>{0}%</color> cada {1} segundos,Khôi phục <color=red>{0}%</color> sau mỗi {1} giây
41,3,"<color=yellow>{0}%</color> 확률로 공격력의 <color=red>{1}%</color> 의 화염을 일으키고,\n시전시 <color=yellow>{2}%</color> 확률로 <color=red>점화</color>","<color=yellow>{0}%</color> chance to unleash <color=red>{1}%</color> of Attack Power Flame,\non cast <color=yellow>{2}%</color> chance to <color=red>Ignite</color>",<color=yellow>{0}%</color>の確率で<color=red>{1}%</color>の攻撃力フレイムを発動、非発動時<color=yellow>{2}%</color>の確率で<color=red>点火</color>,<color=yellow>{0}%</color> 几率释放 <color=red>{1}%</color> 攻击力火焰，\未施放 <color=yellow>{2}%</color> 几率 <color=red>点燃</color>,<color=yellow>{0}%</color> 幾率釋放 <color=red>{1}%</color> 攻擊力火焰，\未施放 <color=yellow>{2}%</color> 幾率 <color=red>點燃</color>,"<color=yellow>{0}%</color> шанс высвободить <color=red>{1}%</color> силы атаки Пламени,\non cast <color=yellow>{2}%</color> шанс <color=red>Поджечь</color>","<color=yellow>{0}%</color> chance de déclencher <color=red>{1}%</color> de Flamme de puissance d'attaque,\non incantation <color=yellow>{2}%</color> chance d'<color=red>Embraser</color>","<color=yellow>{0}%</color> probabilidad de desatar <color=red>{1}%</color> de Llama de Poder de Ataque,\sin lanzar <color=yellow>{2}%</color> probabilidad de <color=red>Incendiar</color>","<color=yellow>{0}%</color> cơ hội tung ra <color=red>{1}%</color> ngọn lửa sức tấn công, không sử dụng phép thuật <color=yellow>{2}%</color> cơ hội gây <color=red>bốc cháy</color>"
42,3,"<color=yellow>{0}%</color> 확률로 공격력의 <color=red>{1}%</color> 의 물결을 일으키고,\n시전시 <color=yellow>{2}%</color> 확률로 <color=red>젖음</color>","<color=yellow>{0}%</color> chance to create a wave of <color=red>{1}%</color> of Attack Power,\non cast with <color=yellow>{2}%</color> chance to <color=red>wet</color>",<color=yellow>{0}%</color>の確率で<color=red>{1}%</color>の攻撃力の波を作り出し、<color=yellow>{2}%</color>の確率で<color=red>濡らす</color>非キャスト,<color=yellow>{0}%</color> 几率产生<color=red>{1}%</color> 攻击力的波浪，<color=yellow>{2}%</color> 几率<color=red>湿润</color></color>,<color=yellow>{0}%</color> 幾率產生<color=red>{1}%</color> 攻擊力的波浪，<color=yellow>{2}%</color> 幾率<color=red>濕潤</color></color>,"<color=yellow>{0}%</color> шанс создать волну <color=red>{1}%</color> силы атаки,\non cast with <color=yellow>{2}%</color> шанс <color=red>намочить</color>","<color=yellow>{0}%</color> chance de créer une vague de <color=red>{1}%</color> de puissance d'attaque, non lancée avec <color=yellow>{2}%</color> chance de <color=red>mouiller</color>","<color=yellow>{0}%</color> probabilidad de crear una ola de <color=red>{1}%</color> de Poder de Ataque,\non lanzado con <color=yellow>{2}%</color> probabilidad de <color=red>mojar</color>","<color=yellow>{0}%</color> cơ hội tạo ra một đợt sóng với <color=red>{1}%</color> Sức tấn công, không sử dụng phép với <color=yellow>{2}%</color> cơ hội làm <color=red>ướt</color>"
43,3,"<color=yellow>{0}%</color> 확률로 공격력의 <color=red>{1}%</color> 의 고드름을 떨어트리고,\n시전시 <color=yellow>{2}%</color> 확률로 <color=red>빙결</color>","Drops icicles equal to <color=yellow>{0}%</color> of Attack Power with a <color=red>{1}%</color> chance on cast, and <color=yellow>{2}%</color> chance to <color=red>freeze</color>",発動時に攻撃力の<color=yellow>{0}</color>に等しい氷柱を<color=red>{1}</color>の確率で落とし、<color=yellow>{2}</color>の確率で<color=red>凍結</color>します。,掉落等同于攻击力0%的冰锥，施放时有1%的几率触发，并有2%的几率冻结目标。,掉落等同於攻擊力0%的冰錐，施放時有1%的幾率觸發，並有2%的幾率凍結目標。,"Выпадает сосульки, равные <color=yellow>{0}%</color> от силы атаки, с вероятностью <color=red>{1}%</color> при применении и вероятностью <color=yellow>{2}%</color> заморозить</color>.","Inflige des stalactites dont la puissance d'attaque est égale à <color=yellow>{0}%</color> avec <color=red>{1}%</color> de chances à l'incantation, et <color=yellow>{2}%</color> de chances de <color=red>geler</color>.","Suelta carámbanos equivalentes al <color=yellow>{0}%</color> de Poder de Ataque con una <color=red>{1}%</color> de probabilidad al ser lanzado, y una <color=yellow>{2}%</color> de probabilidad de <color=red>congelar</color>",Thả những tảng băng có sức mạnh bằng <color=yellow>{0}%</color> Sức tấn công với tỷ lệ <color=red>{1}%</color> khi sử dụng và tỷ lệ <color=yellow>{2}%</color> đóng băng</color>
44,3,"<color=yellow>{0}%</color> 확률로 공격력의 <color=red>{1}%</color> 의 스파크를 일으키고,\n시전시 <color=yellow>{2}%</color> 확률로 <color=red>감전</color>","<color=yellow>{0}%</color> chance to spark <color=red>{1}%</color> of Attack Power,\nwhen cast <color=yellow>{2}%</color> chance to <color=red>electrocute</color>",<color=yellow>{0}%</color>の確率で攻撃力の<color=red>{1}%</color>をスパークさせ、\n発動時に<color=yellow>{2}%</color>の確率で感電させる</color>,施放时有 0% 的几率触发 1% 的攻击力，有 2% 的几率触发电击效果。,施放時有 0% 的幾率觸發 1% 的攻擊力，有 2% 的幾率觸發電擊效果。,"<color=yellow>{0}%</color> шанс вызвать <color=red>{1}%</color> силы атаки,\nпри применении <color=yellow>{2}%</color> шанс <color=red>поразить электрическим током</color>","<color=yellow>{0}%</color> chance de déclencher <color=red>{1}%</color> de puissance d'attaque,\nlors du lancement <color=yellow>{2}%</color> chance d'<color=red>électrocuter</color>","<color=yellow>{0}%</color> probabilidad de generar <color=red>{1}%</color> de Poder de Ataque,\ncuando se lanza <color=yellow>{2}%</color> probabilidad de <color=red>electrocutar</color>","<color=yellow>{0}%</color> cơ hội gây ra <color=red>{1}%</color> sát thương,\nkhi sử dụng <color=yellow>{2}%</color> cơ hội gây ra <color=red>điện giật</color>"
