index,value,kor,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
45,3,"<color=yellow>{0}%</color> 확률로 공격력의 <color=red>{1}%</color> 의 독을 생성하고,\n시전시 <color=yellow>{2}%</color> 확률로 <color=red>중독</color>","<color=yellow>{0}%</color> chance to generate <color=red>{1}%</color> of Attack Power Poison,\non cast with <color=yellow>{2}%</color> chance to <color=red>Poison</color>",<color=yellow>{0}%</color>の確率で<color=red>{1}%</color>の攻撃力毒を生成します。<color=yellow>{2}%</color>の確率で<color=red>毒</color>を発動します。,<color=yellow>{0}%</color> 几率生成 <color=red>{1}%</color> 攻击力毒素，\非施法时有 <color=yellow>{2}%</color> 几率 <color=red>中毒</color>。,<color=yellow>{0}%</color> 幾率生成 <color=red>{1}%</color> 攻擊力毒素，\非施法時有 <color=yellow>{2}%</color> 幾率 <color=red>中毒</color>。,"<color=yellow>{0}%</color> шанс сгенерировать <color=red>{1}%</color> силы атаки Яд,\не применяется с <color=yellow>{2}%</color> шансом <color=red>отравить</color>","<color=yellow>{0}%</color> chance de générer <color=red>{1}%</color> de Poison de Puissance d'Attaque, non lancé avec <color=yellow>{2}%</color> chance de <color=red>Poison</color>","<color=yellow>{0}%</color> probabilidad de generar <color=red>{1}%</color> de Veneno de Poder de Ataque,\non lanzado con <color=yellow>{2}%</color> probabilidad de <color=red>Envenenar</color>","<color=yellow>{0}%</color> cơ hội tạo ra <color=red>{1}%</color> Sức tấn công gây độc, không sử dụng phép với <color=yellow>{2}%</color> cơ hội gây độc</color>"
46,3,"<color=yellow>{0}%</color> 확률로 공격력의 <color=red>{1}%</color> 의 십자가를 생성하고,\n시전시 <color=yellow>{2}%</color> 확률로 <color=red>신성</color>","<color=yellow>{0}%</color> chance to create a cross equal to <color=red>{1}%</color> of Attack Power,\nwhen cast, <color=yellow>{2}%</color> chance to <color=red>Holy</color>",<color=yellow>{0}%</color>の確率で攻撃力の<color=red>{1}%</color>に等しい十字架を作成します。\n詠唱時、<color=yellow>{2}%</color>の確率で<color=red>聖なる</color>になります。,施放时有 0% 的几率生成一个相当于攻击力 1% 的十字架，有 2% 的几率附加神圣效果。,施放時有 0% 的幾率產生一個相當於攻擊力 1% 的十字架，有 2% 的幾率附加神聖效果。,"<color=yellow>{0}%</color> шанс создать крест, равный <color=red>{1}%</color> от силы атаки,\nпри применении, <color=yellow>{2}%</color> шанс <color=red>Святой</color>","<color=yellow>{0}%</color> chance de créer une croix égale à <color=red>{1}%</color> de la puissance d'attaque,\nlorsqu'elle est lancée, <color=yellow>{2}%</color> chance de <color=red>sacré</color>","<color=yellow>{0}%</color> probabilidad de crear una cruz igual a <color=red>{1}%</color> de Poder de Ataque,\ncuando se lanza, <color=yellow>{2}%</color> probabilidad de <color=red>Sagrado</color>","<color=yellow>{0}%</color> cơ hội tạo ra một cây thánh giá có sức mạnh bằng <color=red>{1}%</color> Sức tấn công,\nkhi thi triển, <color=yellow>{2}%</color> cơ hội gây hiệu ứng <color=red>Thánh</color>"
47,3,"<color=yellow>{0}%</color> 확률로 공격력의 <color=red>{1}%</color> 의 종을 생성하고,\n시전시 <color=yellow>{2}%</color> 확률로 <color=red>멸시</color>","Create a Bell of <color=red>{1}%</color> of Attack Power with a <color=yellow>{0}%</color> chance, and on cast, <color=yellow>{2}%</color> chance of <color=red>Contempt</color>",攻撃力1%の鐘を生成し、0%の確率で発動し、発動時に2%の確率で軽蔑の呪文を発動します。,创造一个攻击力为<color=red>{1}%</color>的钟，有<color=yell>{0}%</color>的几率触发，施放时有<color=yell>{2}%</color>的几率触发<color=red>蔑视</color>效果。,創造一個攻擊力為<color=red>{1}%</color>的鐘，有<color=yell>{0}%</color>的幾率觸發，施放時有<color=yell>{2}%</color>的幾率觸發<color=red>輕視</color>效果。,"Создайте Колокол с силой атаки <color=red>{1}%</color> и вероятностью <color=yellow>{0}%</color>, а при применении — с вероятностью <color=yellow>{2}%</color> наложения эффекта <color=red>Презрение</color>.","Créez une Cloche de <color=red>{1}%</color> de Puissance d'Attaque avec <color=yellow>{0}%</color> chance, et lors de son lancement, <color=yellow>{2}%</color> chance de <color=red>Mépris</color>","Crea una Campana de <color=red>{1}%</color> de Poder de Ataque con una <color=yellow>{0}%</color> de probabilidad, y al lanzarla, <color=yellow>{2}%</color> de probabilidad de <color=red>Desprecio</color>","Tạo một chiếc chuông với <color=red>{1}%</color> sức tấn công và <color=yellow>{0}%</color> xác suất, và khi sử dụng, <color=yellow>{2}%</color> xác suất gây ra <color=red>Khinh miệt</color>"
48,3,"<color=yellow>{0}%</color> 확률로 공격력의 <color=red>{1}%</color> 의 균열을 일으키고,\n시전시 <color=yellow>{2}%</color> 확률로 <color=red>용맹</color>","<color=yellow>{0}%</color> chance to cause a <color=red>{1}%</color> of Attack Power rift,\nwhen casting <color=yellow>{2}%</color> chance of <color=red>Valor</color>",<color=yellow>{0}%</color>の確率で<color=red>{1}%</color>の攻撃力の裂け目を引き起こし、\n詠唱時に<color=yellow>{2}%</color>の確率で<color=red>勇気</color>,施放时有 0% 的几率造成 1% 的攻击力裂隙，有 2% 的几率造成勇气效果。,施放時有 0% 的幾率造成 1% 的攻擊力裂隙，有 2% 的幾率造成勇氣效果。,<color=yellow>{0}%</color> шанс вызвать разрыв <color=red>{1}%</color> силы атаки при применении <color=yellow>{2}%</color> шанс <color=red>доблести</color>,"<color=yellow>{0}%</color> chance de provoquer une faille de <color=red>{1}%</color> puissance d'attaque,\nlors du lancement de <color=yellow>{2}%</color> chance de <color=red>Valeur</color>","<color=yellow>{0}%</color> probabilidad de causar una <color=red>{1}%</color> de grieta de Poder de Ataque,\nal lanzar <color=yellow>{2}%</color> probabilidad de <color=red>Valor</color>","<color=yellow>{0}%</color> cơ hội gây ra vết nứt <color=red>{1}%</color> Sức tấn công,\nkhi sử dụng <color=yellow>{2}%</color> cơ hội <color=red>Dũng khí</color>"
49,3,"<color=yellow>{0}%</color> 확률로 공격력의 <color=red>{1}%</color> 의 악령을 소환하고,\n시전시 <color=yellow>{2}%</color> 확률로 <color=red>처단</color>","Summon a Specter equal to <color=red>{1}%</color> of Attack Power with a <color=yellow>{0}%</color> chance, and <color=yellow>{2}%</color> chance to <color=red>Execute</color> on cast",攻撃力の<color=red>{1}</color>に等しいスペクターを<color=yellow>{0}</color>の確率で召喚し、<color=yellow>{2}</color>の確率で<color=red>処刑</color>する。,召唤一个等同于攻击力1%的幽灵，有0%的几率，并且有2%的几率在施放时执行斩杀。,召喚一個等同於攻擊力1%的幽靈，有0%的幾率，並且有2%的幾率在施放時執行斬殺。,"Призвать Призрака, равный <color=red>{1}%</color> от Силы атаки, с вероятностью <color=yellow>{0}%</color> и вероятностью <color=yellow>{2}%</color> выполнить <color=red>Казнь</color> при применении заклинания.","Invoque un spectre dont la puissance d'attaque est égale à 1 % de la puissance d'attaque, avec 0 % de chances de l'exécuter. Il a 2 % de chances de l'exécuter lors de son invocation.",Invoca un espectro igual al <color=red>{1}%</color> de poder de ataque con una <color=yellow>{0}%</color> de probabilidad y una <color=yellow>{2}%</color> de probabilidad de <color=red>Ejecutar</color> al lanzar,Triệu hồi một Bóng ma có sức mạnh bằng <color=red>{1}%</color> Sức tấn công với xác suất <color=yellow>{0}%</color> và xác suất <color=yellow>{2}%</color> để <color=red>Thực thi</color> khi sử dụng.
50,1,최종피해량 <color=red>{0}%</color> 증가,Final damage <color=red>{0}%</color> increase,最終ダメージ <color=red>{0}%</color> 増加,最终伤害提升 <color=red>{0}%</color>,最終傷害提升 <color=red>{0}%</color>,Финальный урон увеличивается на 0%,Dégâts finaux <color=red>{0}%</color> augmentation,Incremento del daño final <color=red>{0}%</color>,Sát thương cuối cùng <color=red>{0}%</color> tăng
51,1,쿨타임 <color=yellow>{0}초</color> 감소,Cooldown <color=yellow>{0} seconds</color> reduced,クールダウン <color=yellow>{0}秒</color>短縮,冷却时间减少 <color=yellow>{0} 秒</color>,冷卻時間減少 <color=yellow>{0} 秒</color>,Время перезарядки <color=yellow>{0} секунд</color> сокращено,Temps de recharge réduit de <color=yellow>{0} secondes</color>,Tiempo de enfriamiento <color=yellow>{0} segundos</color> reducido,Thời gian hồi chiêu <color=yellow>{0} giây</color> giảm
52,1,개체수 <color=yellow>{0}개</color> 증가,Increase the number of <color=yellow>{0}</color> objects,<color=yellow>{0}</color> オブジェクトの数を増やす,增加 <color=yellow>{0}</color> 个对象的数量,增加 <color=yellow>{0}</color> 個物件的數量,Увеличьте количество объектов <color=yellow>{0}</color>,Augmentez le nombre d'objets <color=yellow>{0}</color>,Aumentar el número de objetos <color=yellow>{0}</color>,Tăng số lượng đối tượng <color=yellow>{0}</color>
53,1,<color=red>{0}%</color> 확률로 광역피해,Area damage with a probability of {0}%,範囲ダメージ発生確率：0%,区域性伤害概率为{0}%,區域性傷害機率為{0}%,Повреждение области с вероятностью {0}%,Dommages de zone avec une probabilité de {0}%,Daños en el área con una probabilidad del {0}%,Thiệt hại khu vực với xác suất {0}%
54,2,<color=yellow>30초</color>마다 공격력 + {0}%,Attack Power + {0}% every 30 seconds,攻撃力+{0}%（30秒ごと）,攻击力每 30 秒 + {0}%,攻擊力每 30 秒 + {0}%,Сила атаки +0% каждые 30 секунд,Puissance d'attaque + {0}% toutes les 30 secondes,Poder de ataque + {0}% cada 30 segundos,Sức tấn công + {0}% mỗi 30 giây
55,1,잃은 체력 비례 최종피해 <color=red>{0}%</color> 증가,Final damage increased by <color=red>{0}%</color> proportional to lost HP,最終ダメージは、失ったHPに比例して<color=red>{0}%</color>増加します。,最终伤害增加<color=red>{0}%</color>，增加量与损失的生命值成正比。,最終傷害增加<color=red>{0}%</color>，增加量與損失的生命值成正比。,Итоговый урон увеличивается на <color=red>{0}%</color> пропорционально потерянным очкам здоровья.,Les dégâts finaux sont augmentés de <color=red>{0}%</color> proportionnellement aux PV perdus.,El daño final aumentó en un <color=red>{0}%</color> proporcional a los puntos de vida perdidos.,Sát thương cuối cùng tăng thêm <color=red>{0}%</color> tỷ lệ thuận với lượng HP đã mất.
56,2,회피시 <color=yellow>{0}%</color>확률로 회피율 <color=red>25%</color> 상승,"When dodging, evasion rate increases by 25% with a <color=yellow>{0}%</color> probability",回避時、回避率は25%増加し、確率は<color=yellow>{0}%</color>です。,闪避时，躲避率提高 25%，概率为 <color=yellow>{0}%</color>,閃避時，躲避率提高 25%，機率為 <color=yellow>{0}%</color>,При уклонении вероятность уклонения увеличивается на 25% с вероятностью <color=yellow>{0}%</color>.,"Lors d'une esquive, le taux d'évasion augmente de 25 % avec une probabilité de <color=yellow>{0}%</color>","Al esquivar, la tasa de evasión aumenta en un 25% con una probabilidad del <color=yellow>{0}%</color>.","Khi né tránh, tỷ lệ né tránh tăng 25% với xác suất <color=yellow>{0}%</color>."
57,2,적 처치시 <color=red>10%</color>확률로 보석  획득,"When defeating an enemy, there is a <color=red>10%</color> chance to obtain a gem",敵を倒すと、10%の確率で宝石を入手できます。,击败敌人时，有 10% 的几率获得一颗宝石。,擊敗敵人時，有 10% 的幾率獲得一顆寶石。,При победе над врагом существует <color=red>10%</color> вероятность получить драгоценный камень.,"En vainquant un ennemi, vous avez <color=red>10%</color> de chances d'obtenir une gemme","Al derrotar a un enemigo, hay un <color=red>10%</color> de probabilidad de obtener una gema.","Khi đánh bại kẻ thù, có <color=red>10%</color> cơ hội nhận được đá quý"
58,1,오프라인 보상 <color=yellow>{0}%</color> 증가,Offline rewards <color=yellow>{0}%</color> increase,オフライン報酬 <color=yellow>{0}%</color>増加,线下奖励增加 <color=yellow>{0}%</color>,線下獎勵增加 <color=yellow>{0}%</color>,Офлайн-награды увеличиваются на 0%,Les récompenses hors ligne augmentent de <color=yellow>{0}%</color>,Recompensas sin conexión <color=yellow>{0}%</color> aumento,Phần thưởng ngoại tuyến <color=yellow>{0}%</color> tăng
59,1,<color=yellow>{0}%</color> 약화,<color=yellow>{0}%</color> weakening,<color=yellow>{0}%</color> 弱体化,<color=yellow>{0}%</color> 减弱,<color=yellow>{0}%</color> 減弱,<color=yellow>{0}%</color> ослабление,<color=yellow>{0}%</color> affaiblissement,<color=yellow>{0}%</color> debilitamiento,<color=yellow>{0}%</color> suy yếu
60,1,적 체력이 <color=yellow>10%</color> 이하 일때 피해량 <color=red>X{0}</color>,Damage when enemy health is <color=yellow>10%</color> or less <color=red>X{0}</color>,敵の体力が<color=yellow>10%</color>以下になったときのダメージ<color=red>X{0}</color>,当敌人生命值低于或等于 10% 时造成 X0 点伤害,當敵人生命值低於或等於 10% 時造成 X0 點傷害,"Урон, когда здоровье противника составляет <color=yellow>10%</color> или меньше <color=red>X{0}</color>",Inflige des dégâts lorsque la santé de l'ennemi est de <color=yellow>10%</color> ou moins <color=red>X{0}</color>,Daño cuando la salud del enemigo es <color=yellow>10%</color> o menos <color=red>X{0}</color>,Sát thương khi máu của kẻ địch còn <color=yellow>10%</color> hoặc ít hơn <color=red>X{0}</color>
61,1,피해량 <color=red>{0}%</color> 증가,Damage <color=red>{0}%</color> increase,ダメージ <color=red>{0}%</color> 増加,伤害增加 <color=red>{0}%</color>,傷害增加 <color=red>{0}%</color>,Увеличение урона <color=red>{0}%</color>,Augmentation des dégâts <color=red>{0}%</color>,Incremento del daño <color=red>{0}%</color>,Sát thương tăng <color=red>{0}%</color>
62,1,보스에게 주는 피해 <color=red>X{0}</color>,Damage to the boss <color=red>X{0}</color>,ボスへのダメージ <color=red>X{0}</color>,对首领造成的伤害 <color=red>X{0}</color>,對首領造成的傷害 <color=red>X{0}</color>,Урон боссу <color=red>X{0}</color>,Dégâts infligés au boss <color=red>X{0}</color>,Daño al jefe <color=red>X{0}</color>,Sát thương lên trùm <color=red>X{0}</color>
63,1,지속시간 <color=yellow>{0}초</color> 증가,Increase duration <color=yellow>{0} seconds</color>,期間を延長 <color=yellow>{0}秒</color>,增加持续时间 <color=yellow>{0} 秒</color>,增加持續時間 <color=yellow>{0} 秒</color>,Увеличьте продолжительность до <color=yellow>{0} секунд</color>,Augmenter la durée <color=yellow>{0} secondes</color>,Aumentar la duración <color=yellow>{0} segundos</color>,Tăng thời lượng <color=yellow>{0} giây</color>
64,1,<color=green>[루비]</color>\n착용시 화염 확률 <color=red>{0}%</color> 증가,"<color=green>[Aquamarine]</color>	When worn, the chance of dropping icicles increases <color=red>{0}%</color>",<color=green>[アクアマリン]</color>着用すると、つららが落ちる確率が<color=red>{0}%</color>増加します。,佩戴[海蓝宝石]后，掉落冰柱的几率增加<color=red>{0}%</color>,佩戴[海藍寶石]後，掉落冰柱的幾率增加<color=red>{0}%</color>,<color=green>[Аквамарин]</color> При ношении вероятность падения сосулек увеличивается на <color=red>{0}%</color>,"<color=green>[Aigue-marine]</color> Lorsqu'elle est portée, la probabilité de faire tomber des stalactites augmente de <color=red>{0}%</color>","<color=green>[Aguamarina]</color> Al usarla, aumenta la probabilidad de que caigan carámbanos <color=red>{0}%</color>","<color=green>[Aquamarine]</color> Khi đeo, khả năng rơi băng giá tăng lên <color=red>{0}%</color>"
65,1,<color=green>[사파이어]</color>\n착용시 물결 확률 <color=red>{0}%</color> 증가,"<color=green>[Obsidian]</color>\nWhen equipped, increase the chance to summon evil spirits by <color=red>{0}%</color>",<color=green>[黒曜石]</color>\n装備すると、悪霊を召喚する確率が<color=red>{0}%</color>増加します。,装备后，召唤邪灵的几率提高 <color=red>{0}%</color>,裝備後，召喚邪靈的幾率提高 <color=red>{0}%</color>,<color=green>[Обсидиан]</color>\nПри экипировке увеличивает вероятность призыва злых духов на <color=red>{0}%</color>,"<color=green>[Obsidienne]</color>\nLorsqu'elle est équipée, augmente les chances d'invoquer des esprits maléfiques de <color=red>{0}%</color>","<color=green>[Obsidiana]</color>\nCuando está equipada, aumenta la probabilidad de invocar espíritus malignos en un <color=red>{0}%</color>","<color=green>[Đá Obsidian]</color>\nKhi trang bị, tăng khả năng triệu hồi tà linh lên <color=red>{0}%</color>"
66,1,<color=green>[아쿠아마린]</color>\n착용시 고드름 떨어트릴 확률 <color=red>{0}%</color> 증가,"<color=green>[Ruby]</color>\nWhen equipped, fire chance <color=red>{0}%</color> increase",<color=green>[ルビー]</color>\n装備すると、発火確率が<color=red>{0}%</color>増加します。,装备后，火焰几率增加0%。,裝備後，火焰幾率增加0%。,<color=green>[Руби]</color>\nПри экипировке увеличивается вероятность возгорания на <color=red>{0}%</color>,"<color=green>[Rubis]</color>\nLorsqu'il est équipé, les chances de feu augmentent de <color=red>{0}%</color>","<color=green>[Rubí]</color>\nCuando está equipado, aumenta la probabilidad de fuego <color=red>{0}%</color>.","<color=green>[Ruby]</color>\nKhi trang bị, tỷ lệ gây sát thương lửa tăng <color=red>{0}%</color>"
67,1,<color=green>[토파즈]</color>\n착용시 스파크 확률 <color=red>{0}%</color> 증가,"<color=green>[Sapphire]</color>	When worn, wave probability <color=red>{0}%</color> increase",<color=green>[サファイア]</color>着用すると波動確率が<color=red>{0}%</color>増加します,佩戴时，[蓝宝石] 的波动概率增加 0%。,佩戴時，[藍寶石] 的波動機率增加 0%。,<color=green>[Сапфир]</color> При ношении вероятность появления волны <color=red>{0}%</color> увеличивается.,"<color=green>[Saphir]</color> Lorsqu'il est porté, la probabilité de vagues augmente de <color=red>{0}%</color>","<color=green>[Zafiro]</color> Al usarlo, aumenta la probabilidad de ondas en un <color=red>{0}%</color>","<color=green>[Sapphire]</color> Khi đeo, xác suất sóng <color=red>{0}%</color> tăng lên"
68,1,<color=green>[에메랄드]</color>\n착용시 독 생성 확률 <color=red>{0}%</color> 증가,"<color=green>[Topaz]</color>\nWhen worn, Spark probability <color=red>{0}%</color> increases",<color=green>[トパーズ]</color>\n着用すると、スパークの確率が<color=red>{0}%</color>増加します。,佩戴[黄玉]时，火花概率增加0%。,配戴[黃玉]時，火花機率增加0%。,<color=green>[Топаз]</color>\nПри ношении вероятность появления искры <color=red>{0}%</color> увеличивается,"<color=green>[Topaze]</color>\nLorsqu'elle est portée, la probabilité d'étincelles augmente de <color=red>{0}%</color>","<color=green>[Topacio]</color>\nCuando se usa, la probabilidad de chispa <color=red>{0}%</color> aumenta","<color=green>[Topaz]</color>\nKhi đeo, xác suất phát tia lửa <color=red>{0}%</color> tăng lên"
69,1,<color=green>[다이아몬드]</color>\n착용시 십자가 생성 확률 <color=red>{0}%</color> 증가,"<color=green>[Emerald]</color>\nWhen equipped, increases the chance of poison generation <color=red>{0}%</color>",<color=green>[エメラルド]</color>\n装備すると、毒生成の確率が上昇します <color=red>{0}%</color>,装备后，增加中毒几率（0%）。,裝備後，增加中毒幾率（0%）。,<color=green>[Изумруд]</color>\nПри экипировке увеличивает вероятность отравления <color=red>{0}%</color>,"<color=green>[Émeraude]</color>\nLorsqu'il est équipé, augmente les chances de générer du poison <color=red>{0}%</color>","<color=green>[Esmeralda]</color>\nCuando está equipado, aumenta la probabilidad de generar veneno <color=red>{0}%</color>","<color=green>[Ngọc lục bảo]</color>\nKhi trang bị, tăng khả năng gây độc <color=red>{0}%</color>"
70,1,<color=green>[오닉스]</color>\n착용시 종 소환 확률 <color=red>{0}%</color> 증가,"<color=green>[Diamond]</color>\nWhen worn, increase the chance of creating a cross <color=red>{0}%</color>",<color=green>[ダイヤモンド]</color>\n着用すると、クロスを作成する確率が上昇します <color=red>{0}%</color>,佩戴后，生成十字架的几率增加 0%。,佩戴後，生成十字架的幾率增加 0%。,<color=green>[Алмаз]</color>\nПри ношении увеличивает вероятность образования креста <color=red>{0}%</color>,"<color=green>[Diamant]</color>\nLorsqu'il est porté, augmente les chances de créer une croix <color=red>{0}%</color>","<color=green>[Diamante]</color>\nCuando se usa, aumenta la probabilidad de crear una cruz <color=red>{0}%</color>","<color=green>[Kim cương]</color>\nKhi đeo, tăng khả năng tạo thành hình chữ thập <color=red>{0}%</color>"
71,1,<color=green>[페리도트]</color>\n착용시 균열 발생 확률 <color=red>{0}%</color> 증가,"<color=green>[Onyx]</color>\nWhen equipped, increase the chance of summoning a bell <color=red>{0}%</color>",<color=green>[オニキス]</color>\n装備すると、ベルを召喚する確率が上昇します <color=red>{0}%</color>,装备后，召唤铃铛的几率增加 0%。,裝備後，召喚鈴鐺的幾率增加 0%。,<color=green>[Оникс]</color>\nПри экипировке увеличивает вероятность призыва колокола <color=red>{0}%</color>,"<color=green>[Onyx]</color>\nLorsqu'il est équipé, augmente les chances d'invoquer une cloche <color=red>{0}%</color>","<color=green>[Onyx]</color>\nCuando está equipado, aumenta la probabilidad de invocar una campana <color=red>{0}%</color>","<color=green>[Onyx]</color>\nKhi trang bị, tăng khả năng triệu hồi chuông <color=red>{0}%</color>"
72,1,<color=green>[옵시디언]</color>\n착용시 악령 소환 확률 <color=red>{0}%</color> 증가,"<color=green>[Peridot]</color>\nWhen worn, the chance of cracking increases by <color=red>{0}%</color>",<color=green>[ペリドット]</color>\n着用すると、ひび割れの可能性が<color=red>{0}%</color>増加します。,佩戴时，开裂的几率会增加 <color=red>{0}%</color>,配戴時，開裂的幾率會增加 <color=red>{0}%</color>,<color=green>[Перидот]</color>\nПри ношении вероятность растрескивания увеличивается на <color=red>{0}%</color>,"<color=green>[Péridot]</color>\nLorsqu'il est porté, le risque de fissure augmente de <color=red>{0}%</color>","<color=green>[Peridoto]</color>\nCuando se usa, la probabilidad de agrietamiento aumenta en un <color=red>{0}%</color>","<color=green>[Peridot]</color>\nKhi đeo, khả năng bị nứt tăng lên <color=red>{0}%</color>"
73,1,각인 능력치 <color=red>{0}%</color> 증가,Increase Engraving Stats by <color=red>{0}%</color>,彫刻ステータスを<color=red>{0}%</color>増加します,铭文属性提升 <color=red>{0}%</color>,銘文屬性提升 <color=red>{0}%</color>,Увеличьте характеристики гравировки на <color=red>{0}%</color>,Augmentez les statistiques de gravure de <color=red>{0}%</color>,Aumenta las estadísticas de grabado en <color=red>{0}%</color>,Tăng chỉ số khắc lên <color=red>{0}%</color>
74,1,<color=red>{0}%</color> 확률로 진입시 착용 버프스킬 활성화,<color=red>{0}%</color> probability of activating equipped buff skill upon entry,<color=red>{0}%</color> 入場時に装備バフスキルを発動する確率,<color=red>{0}%</color> 进入时激活已装备增益技能的概率,<color=red>{0}%</color> 進入時啟動已裝備增益技能的機率,<color=red>{0}%</color> вероятность активации экипированного баффа при входе,<color=red>{0}%</color> probabilité d'activer la compétence de buff équipée à l'entrée,<color=red>{0}%</color> probabilidad de activar la habilidad de mejora equipada al entrar,<color=red>{0}%</color> xác suất kích hoạt kỹ năng tăng sức mạnh được trang bị khi vào trận
75,1,진입시 동료 스킬 쿨타임 <color=red>{0}%</color> 감소,Reduces companion skill cooldown by <color=red>{0}%</color> upon entry,進入時にコンパニオンスキルのクールダウンを<color=red>{0}%</color>短縮します。,进入时减少伙伴技能冷却时间<color=red>{0}%</color>,進入時減少夥伴技能冷卻時間<color=red>{0}%</color>,Снижает время восстановления навыков компаньона на <color=red>{0}%</color> при входе,Réduit le temps de recharge des compétences de compagnon de <color=red>{0}%</color> à l'entrée,Reduce el tiempo de reutilización de la habilidad del compañero en un <color=red>{0}%</color> al entrar,Giảm thời gian hồi chiêu kỹ năng đồng hành đi <color=red>{0}%</color> khi vào
76,1,동료 보유효과 <color=red>{0}%</color> 증가,Increase companion retention effect <color=red>{0}%</color>,同伴者の保持効果を高める <color=red>{0}%</color>,提高伴侣留存率 <color=red>{0}%</color>,提高伴侶留存率 <color=red>{0}%</color>,Увеличивает эффект удержания компаньона <color=red>{0}%</color>,Augmenter l'effet de fidélisation des compagnons <color=red>{0}%</color>,Aumenta el efecto de retención del compañero <color=red>{0}%</color>,Tăng hiệu quả giữ chân người bạn đồng hành <color=red>{0}%</color>
77,1,재침공 침공시간 <color=red>{0}%</color> 감소,Re-invasion Invasion time <color=red>{0}%</color> decrease,再侵入 侵入時間 <color=red>{0}%</color>減少,再次入侵 入侵时间 <color=red>{0}%</color> 减少,再入侵 入侵時間 <color=red>{0}%</color> 減少,Повторное вторжение. Время вторжения <color=red>{0}%</color> уменьшается,Réinvasion Temps d'invasion <color=red>{0}%</color> diminution,Reinvasión Tiempo de invasión <color=red>{0}%</color> disminución,Tái xâm lược Thời gian xâm lược <color=red>{0}%</color> giảm
78,1,마나 소모량 <color=red>{0}</color> 감소,Mana consumption <color=red>{0}</color> reduced,マナ消費量 <color=red>{0}</color> 減少,法力消耗减少,法力消耗減少,Потребление маны <color=red>{0}</color> снижено,Consommation de mana réduite <color=red>{0}</color>,Consumo de maná <color=red>{0}</color> reducido,Mức tiêu thụ Mana <color=red>{0}</color> giảm
79,1,이동속도 <color=red>{0}%</color> 증가,Increase movement speed <color=red>{0}%</color>,移動速度を上げる <color=red>{0}%</color>,提升移动速度 <color=red>{0}%</color>,提升移動速度 <color=red>{0}%</color>,Увеличьте скорость передвижения <color=red>{0}%</color>,Augmenter la vitesse de déplacement <color=red>{0}%</color>,Aumentar la velocidad de movimiento <color=red>{0}%</color>,Tăng tốc độ di chuyển <color=red>{0}%</color>
80,1,확률 <color=red>{0}%</color> 증가,Increase probability <color=red>{0}%</color>,確率を上げる <color=red>{0}%</color>,提高概率 <color=red>{0}%</color>,提高機率 <color=red>{0}%</color>,Увеличение вероятности <color=red>{0}%</color>,Augmenter la probabilité <color=red>{0}%</color>,Aumentar la probabilidad <color=red>{0}%</color>,Tăng xác suất <color=red>{0}%</color>
