index,kor,English,Japanese,ChineseSimplified,ChineseTraditional,Russian,French,Spanish,Vietnamese
int,string,string,string,string,string,string,string,string,string
1,무대 위를 가로지르는 날카로운 스텝.,Sharp steps across the stage.,舞台を横切る鋭い足取り。,迈着利落的步伐走过舞台。,邁著俐落的步伐走過舞台。,Резкие шаги по сцене.,Des pas rapides sur scène.,Pasos bruscos a través del escenario.,Những bước chân dứt khoát trên sân khấu.
2,"싱그러운 조명 아래 피어나는 생명력,\n푸른 숲의 청량함을 무대 가득 채워.","Vitality blooming under the fresh lights, filling the stage with the refreshing coolness of the blue forest.",新鮮な光の下で生命力が花開き、青い森の爽やかな涼しさで舞台を満たす。,在明亮的灯光下，活力绽放，舞台上弥漫着蓝色森林般的清凉气息。,在明亮的燈光下，活力綻放，舞台上瀰漫著藍色森林般的清涼氣息。,"Жизненная энергия расцветает под свежим светом, наполняя сцену освежающей прохладой синего леса.","La vitalité s'épanouit sous les lumières fraîches, emplissant la scène de la fraîcheur vivifiante de la forêt bleue.","La vitalidad florece bajo las luces frescas, llenando el escenario con la refrescante frescura del bosque azul.","Sức sống bùng nở dưới ánh đèn tươi mới, lấp đầy sân khấu bằng sự mát mẻ sảng khoái của khu rừng xanh."
3,"어둠을 뚫고 쏟아지는 화려한 레이저,\n눈부신 광채로 스테이지를 압도해.","Gorgeous lasers pouring through the darkness, overwhelming the stage with dazzling brilliance.",暗闇を切り裂くように降り注ぐ、まばゆいばかりの輝きでステージを圧倒する、ゴージャスなレーザー光線。,绚丽的激光划破黑暗，以耀眼的光芒照亮舞台。,絢麗的雷射劃破黑暗，以耀眼的光芒照亮舞台。,"Великолепные лазерные лучи, пробивающиеся сквозь темноту, ослепительно сверкают на сцене.","De magnifiques lasers jaillissent des ténèbres, inondant la scène d'une brillance éblouissante.",Magníficos láseres que atraviesan la oscuridad inundan el escenario con un brillo deslumbrante.,"Những tia laser tuyệt đẹp xuyên qua bóng tối, bao trùm sân khấu bằng vẻ rực rỡ chói lọi."
4,"무대 위를 스치는 차가운 바람처럼,\n적의 열기를 식혀버리는 냉기의 숨결.","Like a cold wind sweeping across the stage, a breath of cold that cools the enemy's heat.",まるで舞台を吹き抜ける冷たい風のように、敵の熱気を冷ます冷たい息吹。,就像一阵寒风席卷舞台，一股寒意冷却了敌人的热气。,就像一陣寒風席捲舞台，一股寒意冷卻了敵人的熱氣。,"Словно холодный ветер, проносящийся по сцене, дуновение холода, охлаждающее жар врага.","Comme un vent froid balayant la scène, un souffle glacial qui refroidit la flamme ennemie.","Como un viento frío que barre el escenario, un soplo de aire frío que enfría el calor del enemigo.","Như một cơn gió lạnh thổi qua sân khấu, một hơi thở lạnh lẽo làm nguội đi hơi ấm của kẻ thù."
5,"열광의 도가니마저 얼려버릴 역설의 불꽃,\n타오르는 열기보다 강렬하게 몰아치는 극저온의 압도.","A flame of paradox that will freeze even the cauldron of fervor, the overwhelming chill that surges more intensely than burning heat.",熱狂の坩堝さえも凍りつかせる矛盾の炎、燃え盛る熱よりも激しく押し寄せる圧倒的な冷気。,悖论之火，足以冻结最热烈的激情，压倒性的寒冷，比燃烧的火焰更加强烈。,悖論之火，足以凍結最熱烈的激情，壓倒性的寒冷，比燃燒的火焰更強烈。,"Пламя парадокса, способное заморозить даже самый пылкий котел, всепоглощающий холод, который сильнее обжигающего жара.","Une flamme paradoxale capable de glacer même le chaudron de la ferveur, un froid glacial qui déferle avec une intensité supérieure à celle de la chaleur brûlante.","Una llama de paradoja que congelará incluso el caldero del fervor, un frío abrumador que surge con más intensidad que el calor abrasador.","Một ngọn lửa nghịch lý có thể đóng băng cả nồi lẩu cuồng nhiệt, một cơn lạnh thấu xương dâng trào dữ dội hơn cả sức nóng thiêu đốt."
6,"통통 튀는 비트와 함께 터지는 경쾌한 소리,\n귀여운 장난으로 무대의 긴장을 풀어버려.","Cheerful sounds bursting with bouncy beats, and cute antics to relieve the tension on stage.",弾むようなビートが弾む陽気なサウンドと、ステージ上の緊張を和らげる可愛らしい仕草。,欢快的音乐，充满活力的节奏，以及可爱的滑稽动作，缓解了舞台上的紧张气氛。,歡快的音樂，充滿活力的節奏，以及可愛的滑稽動作，緩和了舞台上的緊張氣氛。,"Веселая музыка, наполненная задорными ритмами, и забавные выходки, призванные снять напряжение на сцене.","Des sonorités joyeuses, des rythmes entraînants et des pitreries mignonnes pour détendre l'atmosphère sur scène.",Sonidos alegres rebosantes de ritmos enérgicos y payasadas simpáticas para aliviar la tensión en el escenario.,"Những âm thanh vui tươi tràn đầy nhịp điệu sôi động, cùng những trò hề đáng yêu giúp xua tan căng thẳng trên sân khấu."
7,"무대 주변을 감도는 서늘한 공기,\n차분한 카리스마로 열기를 가라앉혀.","The cool air swirling around the stage, cooling the heat with calm charisma.",舞台を包み込む涼しい空気が、穏やかなカリスマ性で熱気を和らげる。,舞台周围凉爽的空气旋转着，用沉稳的魅力驱散了暑气。,舞台周圍涼爽的空氣旋轉著，用沉穩的魅力驅散了暑氣。,"Прохладный воздух, клубящийся вокруг сцены, смягчает жару, излучая спокойное обаяние.","L'air frais qui tourbillonnait autour de la scène, apaisant la chaleur avec un charisme serein.",El aire fresco que envolvía el escenario mitigaba el calor con una calma y un carisma apacibles.,"Không khí mát mẻ lan tỏa quanh sân khấu, làm dịu đi cái nóng bằng sự điềm tĩnh và cuốn hút."
8,"스테이지를 가득 채운 관객의 함성,\n뜨거운 에너지로 무대를 불태워.","The roar of the audience filling the stage, setting the stage ablaze with hot energy.",観客の歓声がステージに響き渡り、ステージは熱いエネルギーで燃え上がった。,观众的欢呼声响彻舞台，瞬间点燃了舞台，现场气氛热烈非凡。,觀眾的歡呼聲響徹舞台，瞬間點燃了舞台，現場氣氛熱烈非凡。,"Рев публики, наполняющий сцену, наполняет её невероятной энергией.","Les acclamations du public emplissent la scène, l'embrasant d'une énergie brûlante.","El rugido del público llenaba el escenario, incendiándolo con una energía arrolladora.","Tiếng reo hò của khán giả vang vọng khắp sân khấu, khiến cả khán phòng bùng cháy với nguồn năng lượng nóng bỏng."
9,"통통 튀는 음표처럼 즐거운 리듬,\n발랄한 기운으로 모두를 미소 짓게 해.","A joyful rhythm like bouncy notes, making everyone smile with its lively energy.",弾むような音符のような、喜びにあふれたリズムが、その活気に満ちたエネルギーで皆を笑顔にする。,欢快的节奏如同轻快的音符，充满活力，让人不禁露出笑容。,歡快的節奏如同輕快的音符，充滿活力，讓人不禁露出笑容。,"Радостный ритм, словно игривые ноты, заставляющий всех улыбаться своей живой энергией.","Un rythme joyeux, comme des notes rebondissantes, qui fait sourire tout le monde grâce à son énergie communicative.","Un ritmo alegre, como notas vivaces, que hace sonreír a todo el mundo con su energía contagiosa.","Một nhịp điệu vui tươi như những nốt nhạc rộn ràng, khiến mọi người mỉm cười với nguồn năng lượng sống động của nó."
10,"모든 조명이 꺼진 뒤의 묵직한 카리스마,\n깊은 어둠 속에서 홀로 빛나는 존재감.","A weighty charisma after all the lights are off, a presence shining alone in the deep darkness.",明かりがすべて消えた後、重厚なカリスマ性が漂い、深い闇の中でひときわ輝く存在感を放つ。,夜幕降临后，他散发出一种强大的魅力，在漆黑的夜色中独自闪耀。,夜幕降臨後，他散發出強大的魅力，在漆黑的夜色中獨自閃耀。,"Впечатляющая харизма после того, как погас свет, присутствие, сияющее в одиночестве в кромешной тьме.","Un charisme imposant une fois toutes les lumières éteintes, une présence qui brille seule dans les ténèbres profondes.","Un carisma imponente cuando todas las luces se apagan, una presencia que brilla sola en la profunda oscuridad.","Một sức hút mãnh liệt sau khi mọi ánh đèn tắt, một sự hiện diện tỏa sáng đơn độc trong bóng tối sâu thẳm."
11,"흩날리는 꽃가루처럼 화사한 팬서비스,\n사랑스러운 색감으로 무대를 물들여.","Bright fan service like scattering flower petals, coloring the stage with lovely colors.",花びらを撒いたり、ステージを美しい色彩で彩ったりといった、華やかなファンサービス。,如同撒花瓣般绚丽的粉丝福利，用可爱的色彩装点舞台。,如同撒花瓣般絢麗的粉絲福利，用可愛的色彩裝飾舞台。,"Яркое приветствие фанатам, например, разбрасывание лепестков цветов, раскрашивание сцены прекрасными красками.","Un service client exceptionnel, avec des gestes comme disperser des pétales de fleurs et colorer la scène de jolies couleurs.","Un servicio al público muy vistoso, como esparcir pétalos de flores y llenar el escenario de colores preciosos.","Màn tri ân người hâm mộ rực rỡ như rải cánh hoa, tô điểm sân khấu bằng những màu sắc tươi tắn."
12,"차갑게 빛나는 투명한 얼음의 깃털,\n시린 바람을 타고 무대 위를 수놓아.","Coldly shining, transparent ice feathers, riding the biting wind, embroider the stage.",冷たく輝く透明な氷の羽が、身を切るような風に乗って、舞台を彩る。,冰冷闪耀，透明的冰羽，乘着凛冽的寒风，绣满了舞台。,冰冷閃耀，透明的冰羽，乘著凜冽的寒風，繡滿了舞台。,"Холодно сияющие, прозрачные ледяные перья, развевающиеся на пронизывающем ветру, украшают сцену.","Des plumes de glace transparentes et froides, portées par le vent mordant, brodent la scène.","Plumas de hielo transparentes y brillantes como el hielo, mecidas por el viento cortante, bordan el escenario.","Những chiếc lông vũ băng trong suốt, lấp lánh lạnh lẽo, lướt theo cơn gió buốt, tô điểm cho sân khấu."
13,"화려한 조명보다 뜨겁게 타오르는 날갯짓,\n폭발적인 열정으로 피날레를 장식해.","A fluttering of wings burning hotter than dazzling lights, decorating the finale with explosive passion.",まばゆい光よりも熱く燃える羽ばたきが、爆発的な情熱でフィナーレを彩る。,翅膀扑扇着，燃烧得比耀眼的灯光还要炽热，为终曲增添了爆发般的激情。,翅膀撲扇著，燃燒得比耀眼的燈光還要熾熱，為終曲增添了爆發般的激情。,"Взмах крыльев, пылающих жаром, превосходящим ослепительные огни, украшает финал взрывной страстью.","Un battement d'ailes brûlant plus ardemment que des lumières éblouissantes, ornant le final d'une passion explosive.","Un aleteo de alas que arden con más intensidad que luces deslumbrantes, adornando el final con una pasión explosiva.","Đôi cánh vỗ rì rào rực lửa hơn cả ánh đèn chói lọi, tô điểm cho màn kết thúc bằng niềm đam mê bùng nổ."
14,"몽환적인 안개처럼 부드러운 실루엣,\n마치 꿈속을 거니는 듯한 신비로운 무대.","A silhouette as soft as dreamy mist, a mysterious stage like walking through a dream.",夢のような霧のように柔らかなシルエット、まるで夢の中を歩いているかのような神秘的な舞台。,轮廓如梦似幻的薄雾般柔和，舞台神秘莫测，宛如漫步梦境。,輪廓如夢似幻的薄霧般柔和，舞台神秘莫測，宛如漫步夢境。,"Силуэт, мягкий, как мечтательный туман, таинственная сцена, словно прогулка по сну.","Une silhouette douce comme une brume onirique, une scène mystérieuse comme une promenade dans un rêve.","Una silueta tan suave como una bruma onírica, un escenario misterioso como caminar a través de un sueño.","Một bóng hình mềm mại như làn sương mộng mơ, một sân khấu huyền bí như đang bước vào giấc mơ."
